verification_id,source_file,subject_link_id,signal_id,subject_scope,subject_id_from_pack,required_a_data_version,required_review_state,verification_method,runtime_use,status,steward_note
VERIFY-SL001,signal_subject_links.csv,SL001,SIG_REG_AU_001,brand,B0061,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0061 (Milo) present; review_state=reviewed in canonical_brands.csv.
VERIFY-SL002,signal_subject_links.csv,SL002,SIG_REG_AU_002,product_family,SOURCE_PRODUCT_ALFAMINO_400G,A-Data Wave 1 v0.14,reviewed,explicit_local_uat_fixture_token,preflight_only_not_trigger_logic,ok_local_fixture,Not an A-Data surrogate key; local non-mutating UAT token for Alfamino exact-product recall scope per pack notes. Runtime match uses product_name/batch heuristics + pack rules — not a separate A-Data row.
VERIFY-SL003,signal_subject_links.csv,SL003,SIG_REG_NZ_001,brand,B0024,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0024 (Pams) present; review_state=reviewed.
VERIFY-SL004,signal_subject_links.csv,SL004,SIG_REG_NZ_002,brand,B0020,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0020 (PAK'nSAVE) present; review_state=reviewed.
VERIFY-SL005,signal_subject_links.csv,SL005,SIG_NEWS_AU_001,parent,P0001,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_parents.csv,preflight_only_not_trigger_logic,ok,parent_id P0001 (Woolworths Group Limited) present; review_state=reviewed in canonical_parents.csv.
VERIFY-SL006,signal_subject_links.csv,SL006,SIG_NEWS_NZ_001,parent,P0001,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_parents.csv,preflight_only_not_trigger_logic,ok,parent_id P0001 present; review_state=reviewed. SL006 is NZ market_key; chain gating still required at runtime.
VERIFY-SL007,signal_subject_links.csv,SL007,SIG_NEWS_NZ_001,parent,P0003,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_parents.csv,preflight_only_not_trigger_logic,ok,parent_id P0003 (Foodstuffs New Zealand) present; review_state=reviewed.
VERIFY-SL008,signal_subject_links.csv,SL008,SIG_NEWS_GLOBAL_001,brand,B0241,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0241 (Cadbury Dairy Milk) present; review_state=reviewed. GLOBAL_CONTEXT is eligibility context only; see implementation logs.
VERIFY-SL009,signal_subject_links.csv,SL009,SIG_NEWS_GLOBAL_001,brand,B0060,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0060 (KitKat) present; review_state=reviewed.
VERIFY-SL010,signal_subject_links.csv,SL010,SIG_NEWS_GLOBAL_001,brand,B0050,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0050 (Mars) present; review_state=reviewed.
VERIFY-SL011,signal_subject_links.csv,SL011,SIG_NEWS_GLOBAL_002,brand,B0241,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,v0.4: aligned with B0241 so Cadbury Dairy Milk UAT resolves both NGO signals without duplicate brand-ID mismatch.
VERIFY-SL012,signal_subject_links.csv,SL012,SIG_NEWS_GLOBAL_002,brand,B0068,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0068 (Oreo) present; review_state=reviewed.
VERIFY-SL013,signal_subject_links.csv,SL013,SIG_NEWS_GLOBAL_002,brand,B0071,A-Data Wave 1 v0.14,reviewed,read_only_row_lookup_canonical_brands.csv,preflight_only_not_trigger_logic,ok,brand_id B0071 (Toblerone) present; review_state=reviewed.
