source_id,source_name,source_type,source_url_or_reference,source_owner_or_publisher,harvest_method,harvest_date,source_harvest_date,source_status,notes_internal
SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,official_parent_brand_page,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,Woolworths Group,source_harvest,2026-04-28,2026-04-28,active,Official group/store brand page
SRC_COLES_OWN_BRANDS,Coles — Our Brands,retailer_own_brand_page,https://www.coles.com.au/about/who-we-are/our-brands,Coles,source_harvest,2026-04-28,2026-04-28,active,Retailer own-brand source
SRC_FOODSTUFFS_OUR_BRANDS,Foodstuffs — Our Brands,official_parent_brand_page,https://www.foodstuffs.co.nz/our-brands,Foodstuffs,source_harvest,2026-04-28,2026-04-28,active,Official NZ retailer group / own brands page
SRC_ALDI_AU_BRANDS,ALDI Australia — Brands/Product Pages,retailer_product_page,https://www.aldi.com.au/brands/Choceur,ALDI Australia,source_harvest,2026-04-28,2026-04-28,active,ALDI brand/product evidence
SRC_METCASH_IGA_BRANDS,Metcash/IGA own-label stewardship seed,manual_stewardship,https://www.iga.com.au/,Metcash Iga,manual_review,2026-04-28,2026-04-28,active,Seeded pending full official source harvesting
SRC_COSTCO_KIRKLAND,Costco Australia — Kirkland Signature,retailer_own_brand_page,https://www.costco.com.au/kirkland-signature,Costco Australia,source_harvest,2026-04-28,2026-04-28,active,Costco private-label source
SRC_MARS_AU_BRANDS,Mars Australia — A-Z Brands,official_parent_brand_page,https://www.mars.com/en-au/our-brands/all-brands,Mars Australia,source_harvest,2026-04-28,2026-04-28,active,Official AU Mars brand portfolio
SRC_NESTLE_AU_BRANDS,Nestlé Australia — Brands,official_parent_brand_page,https://www.nestle.com.au/en/brands,Nestlé Australia,source_harvest,2026-04-28,2026-04-28,active,Official AU Nestlé brand page
SRC_MONDELEZ_BRANDS,Mondelēz International — Our Brands,official_parent_brand_page,https://www.mondelezinternational.com/Our-Brands/,Mondelēz International,source_harvest,2026-04-28,2026-04-28,active,Official Mondelēz brand page
SRC_PEPSICO_AU_BRANDS,PepsiCo Australia — Our Brands,official_parent_brand_page,https://pepsico.com.au/our-brands,PepsiCo Australia,source_harvest,2026-04-28,2026-04-28,active,Official PepsiCo Australia brand page
SRC_COCA_COLA_AU_BRANDS,Coca‑Cola Australia — Brands,official_parent_brand_page,https://www.coca-cola.com/au/en/brands,Coca‑Cola Australia,source_harvest,2026-04-28,2026-04-28,active,Official Coca‑Cola Australia brand page
SRC_DANONE_GLOBAL_BRANDS,Danone — Brands,official_parent_brand_page,https://www.danone.com/brands.html,Danone,source_harvest,2026-04-28,2026-04-28,active,Official Danone brand page
SRC_UNILEVER_AU_BRANDS,Unilever Australia & New Zealand,official_parent_brand_page,https://www.unilever.com.au/,Unilever Au,source_harvest,2026-04-28,2026-04-28,active,Official Unilever AU/NZ page; detailed food brand confirmation limited
SRC_STREETS_BRANDS,Streets Ice Cream — Brands,official_brand_page,https://www.streetsicecream.com.au/brands.html,Streets Ice Cream,source_harvest,2026-04-28,2026-04-28,active,Official Streets/TMICC ice-cream brand page
SRC_GENERAL_MILLS_AU_BRANDS,General Mills Australia — Brands,official_parent_brand_page,https://www.generalmills.com.au/brands,General Mills Australia,source_harvest,2026-04-28,2026-04-28,active,Official General Mills Australia brand page
SRC_KRAFT_HEINZ_BRANDS,Kraft Heinz — Beloved Global Brands,official_parent_brand_page,https://www.kraftheinzcompany.com/brands.html,Kraft Heinz,source_harvest,2026-04-28,2026-04-28,active,Official Kraft Heinz brand portfolio
SRC_FERRERO_AU_BRANDS,Ferrero Australia & New Zealand — Brands,official_parent_brand_page,https://www.ferrero.com/au/en/our-brands,Ferrero Australia & New Zealand,source_harvest,2026-04-28,2026-04-28,active,Official Ferrero AU/NZ brand page
SRC_ABF_BRANDS,Associated British Foods — Our Businesses,official_parent_brand_page,https://www.abf.co.uk/our-businesses,Associated British Foods,source_harvest,2026-04-28,2026-04-28,active,Official ABF businesses/brands page
SRC_BARILLA_GROUP_BRANDS,Barilla Group — Brands,official_parent_brand_page,https://www.barillagroup.com/en/brands/,Barilla Group,source_harvest,2026-04-28,2026-04-28,active,Official Barilla group brands page
SRC_LACTALIS_AU_BRANDS,Lactalis Australia — Brands,official_parent_brand_page,https://lactalis.com.au/brand/,Lactalis Australia,source_harvest,2026-04-28,2026-04-28,active,Official Lactalis Australia brand page
SRC_ARLA_BRANDS,Arla Foods — Brands,official_parent_brand_page,https://www.arla.com/brands/,Arla Foods,source_harvest,2026-04-28,2026-04-28,active,Official Arla brand page
SRC_FONTERRA_AU_BRANDS,Fonterra Australia — Our Brands,official_parent_brand_page,https://www.fonterra.com/au/en/about-us/our-brands.html,Fonterra Australia,source_harvest,2026-04-28,2026-04-28,active,Official Fonterra Australia brands page
SRC_BEGA_GROUP_BRANDS,Bega Group — About/Brands,official_parent_brand_page,https://begagroup.com.au/,Bega Group,source_harvest,2026-04-28,2026-04-28,active,Bega Group official source / brand references
SRC_A2_MILK_BRANDS,The a2 Milk Company,official_parent_brand_page,https://thea2milkcompany.com/,A2 Milk,source_harvest,2026-04-28,2026-04-28,active,Official a2 Milk Company source
SRC_SANITARIUM_BRANDS,Sanitarium brand stewardship seed,official_brand_page,https://www.sanitarium.com/au/,Sanitarium Brands,source_harvest,2026-04-28,2026-04-28,active,Official Sanitarium source; brand detail to verify
SRC_INGHAMS_BRANDS,Ingham's — Our Brands,official_parent_brand_page,https://inghams.com.au/,Ingham's,source_harvest,2026-04-28,2026-04-28,active,Official Ingham's source
