candidate_id,candidate_brand_name,candidate_parent_name,candidate_type,evidence_basis,audit_rows,recommended_workflow,proposed_review_state,source_url,notes
EXT0001,Maggie Beer,Maggie Beer Holdings Limited,new_parent_and_brand,Coles category snippet plus Maggie Beer Holdings source says Longtable owns 100% of Maggie Beer Products.,COLP001,promoted_to_canonical_chaining_v0.7,provisional,https://www.maggiebeerholdings.com.au/about-us/who-we-are/,Premium/long-tail but visible AU brand not captured by global parent harvest. Promoted to canonical parent/brand rows in v0.7.
EXT0002,Savoy,The Arnott's Group,brand_or_alias_under_existing_parent,Coles Arnott's brand page exposes Savoy product title; likely Arnott's sub-brand/product family.,COLP004,promoted_to_canonical_chaining_v0.7,provisional,https://www.coles.com.au/brands/arnotts-1655129700,Tests brand-vs-sub-brand policy. Promoted to canonical parent/brand rows in v0.7.
EXT0003,Gippsland Dairy,"Chobani, LLC / Chobani Pty Ltd",brand_under_existing_or_refined_parent,Coles listing exposes shelf presence; Chobani Australia product page lists Gippsland Dairy in Chobani products.,COLP012,promoted_to_canonical_chaining_v0.7,provisional,https://www.chobani.com.au/our-products/,Catalogue audit found a missing brand under an already-present parent. Promoted to canonical parent/brand rows in v0.7.
EXT0004,Val Verde,Conga Foods Pty Ltd,new_parent_and_brand,Coles category snippet exposes shelf presence; Val Verde privacy page says Conga Foods is brand owner.,COLP014,promoted_to_canonical_chaining_v0.7,provisional,https://www.discovervalverde.com.au/privacy-disclaimer/,Strong proof catalogue audit finds mid-sized AU shelf parents missed by global brand harvesting. Promoted to canonical parent/brand rows in v0.7.
EXT0005,Tilda,Ebro Foods S.A.,new_parent_and_brand,Coles category snippets expose shelf presence; Ebro Foods announced acquisition of Tilda.,COLP017,promoted_to_canonical_chaining_v0.7,provisional,https://www.ebrofoods.es/en/news/ebro-foods-buys-the-premium-rice-brand-tilda/,Useful pantry/category specialist parent candidate. Promoted to canonical parent/brand rows in v0.7.
PEC0006,SPC,SPC Global Limited,new_parent_and_brand,Founder-approved v0.8 promotion from Coles canned-meal audit; SPC Global official source supports provisional parent/brand chain.,COLP024,promoted_to_canonical_chaining_v0.8,provisional,https://spcglobalgroup.com/,High-value canned food / ready-to-eat pantry brand gap.
PEC0007,Indomie,PT Indofood Sukses Makmur Tbk,new_parent_and_brand,Founder-approved v0.8 promotion from Coles noodle audit; Indomie official source confirms Indofood production and AU/NZ availability.,COLP027,promoted_to_canonical_chaining_v0.8,provisional,https://indomie.com.au/about/,High-scan noodle category gap; parent mapping requires careful source support.
PEC0008,Fantastic,San Remo Macaroni Company Pty Ltd,new_parent_and_brand,Founder-approved v0.8 promotion from Coles noodle/snack audit; Fantastic official source supports brand presence while parent ownership remains provisional.,COLP029,promoted_to_canonical_chaining_v0.8,provisional,https://fantasticsnacks.com.au/about-us,High-scan noodle/snack category gap; do not force owner until source is verified.
PEC0009,My Muscle Chef,My Muscle Chef Pty Ltd,new_parent_and_brand,Founder-approved v0.8 promotion from Coles ready-meals audit; official My Muscle Chef source confirms brand/operating presence while top-owner remains provisional.,COLP031,promoted_to_canonical_chaining_v0.8,provisional,https://www.coles.com.au/product/my-muscle-chef-pro-meal-mexican-pulled-beef-370g-1071092,Ready-to-eat meals gap.
PEC0010,Youfoodz,HelloFresh SE,new_parent_brand_candidate,Coles ready-meals audit surfaced Youfoodz; HelloFresh acquisition source supports parent candidate but should be validated for current chain.,COLP032,keep_candidate_post_v0.10_signoff,provisional,https://assets.ctfassets.net/irplh84t0tdt/4xkJwmAtSgYrI7tZ6J1TTg/cb42e689560e2ae306cde8857ee3acb8/HelloFresh_Press_Release_Youfoods_acquisition.pdf,Ready-to-eat meals gap; also relevant to Signals but not scoring. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
