product_family_id,display_name,market_key,anchor_brand_id,anchor_parent_id,review_state,confidence_state,lineage_reference,notes
PF_LEGGOS_TOMATO_PASTE_AU,Leggo's Tomato Paste — AU,AU,B0179,P0041,reviewed,strong,DSA-v0.2|TGT-009,Family definition reviewed; membership via aliases and/or verified GTINs
PF_REMANO_TOMATO_PASTE_AU,Remano Tomato Paste — AU,AU,B0032,P0004,reviewed,strong,DSA-v0.2|TGT-010,Family definition reviewed; membership via aliases and/or verified GTINs
PF_COLES_ITALIAN_TOMATO_PASTE_AU,Coles Italian Tomato Paste — AU,AU,B0200,P0002,reviewed,strong,DSA-v0.2|TGT-011,Anchor updated to Coles master B0200 (B0013 archived); membership via aliases and/or verified GTINs
PF_WOOLWORTHS_CAGEFREE_EGGS_SA,Woolworths Cage-Free Eggs — SA tested range,AU,B0001,P0001,reviewed,strong,DSA-v0.2|TGT-013,SA-only; membership via aliases and/or verified GTINs; no national propagation without matching evidence
PF_KERI_FRUIT_JUICE_NZ,Keri Fruit Juice — pack transition,NZ,B0268,P0011,reviewed,strong,DSA-v0.2|TGT-017,Only flavours in documented pack transition; membership via aliases and/or verified GTINs
PF_ANCHOR_BUTTER_NZ,Anchor Butter — historical grass-fed label,NZ,B0139,P0020,reviewed,strong,DSA-v0.2|TGT-026,Historical label-period; membership via aliases and/or verified GTINs; current parent Lactalis P0020
PF_HOYTS_TURMERIC_AU,Hoyt's Turmeric — AU tested packs,AU,B0653,P0157,reviewed,strong,DSA-v0.2|TGT-012,Family definition reviewed under Hoyt's (B0653); membership via aliases and/or verified GTINs
PF_VOGELS_MPI_METAL_20260811,Vogel's breads — exact MPI 11 Aug 2026 recall scope,NZ,B0175,P0040,reviewed,strong,MPI-VOGELS-METAL-20260811,Exact MPI-listed products only; aliases must name those products — brand-wide bread match forbidden
PF_AUSTRALHERBS_PEPPERMINT_20260909,Austral Herbs Certified Organic Premium Peppermint Leaf — listed sizes,AU,B0797,P0176,reviewed,strong,FSANZ-AUSTRALHERBS-20260909,Listed sizes BB 2029-04-02; membership via aliases and/or verified GTINs
PF_MONSIRE_BRIE_NZ_20260904,Mon Sire Brie — NZ Sabato listed packs,NZ,B0798,P0177,reviewed,strong,MPI-MONSIRE-NZ-20260904,NZ market-specific packs BB 2026-09-26; never cross-publish to AU 1kg
