dimension,value,label,definition
publisher_type,Official Authority,Official Authority,"Government regulator, statutory authority or official food-safety body."
publisher_type,Public Broadcaster,Public Broadcaster,Publicly funded national broadcaster or newsroom.
publisher_type,Commercial News Publisher,Commercial News Publisher,Commercial national newsroom or publisher.
publisher_type,Consumer Organisation,Consumer Organisation,"Consumer testing, advocacy or product-investigation body."
publisher_type,Specialist Evidence Organisation,Specialist Evidence Organisation,"Specialist evidence-led organisation producing reporting, investigation or analysis using identifiable sources or disclosed methods."
editorial_function,Food Recall Registry,Food Recall Registry,Official consumer-facing product recall and withdrawal notices.
editorial_function,Regulatory & Enforcement Reporting,Regulatory & Enforcement Reporting,"Official proceedings, findings, warnings, undertakings and enforcement outcomes."
editorial_function,National Mainstream Reporting,National Mainstream Reporting,"National reporting capable of recurring named product, brand or company coverage."
editorial_function,Dedicated Investigative & Verification Journalism,Dedicated Investigative & Verification Journalism,"Original investigation, testing, documents, fieldwork or verification."
editorial_function,Consumer Testing & Advocacy,Consumer Testing & Advocacy,"Product testing, comparison and consumer-focused investigation."
editorial_function,Specialist Evidence & Watchdog Investigation,Specialist Evidence & Watchdog Investigation,Evidence-led specialist reporting or investigation using identifiable sources or disclosed methods.
signal_class,safety_regulatory,Food Safety,"Official food recalls, allergen or food-safety notices, withdrawal notices, and equivalent approved food-safety reporting concerning a product or identifiable product range."
signal_class,in_the_news,In the News,"Approved current reporting, investigation, or non-food-safety regulator/enforcement developments about a product, brand or company."
market_key,AU,Australia,Market-specific delivery scope. Use where founders expressly restrict the Signal to Australia; FSANZ food recalls are AU by default.
market_key,NZ,New Zealand,Market-specific delivery scope. Use where founders expressly restrict the Signal to New Zealand; MPI/New Zealand Food Safety recalls are NZ by default.
market_key,AU+NZ,Australia and New Zealand,Default eligible delivery market for In the News Signals unless founders expressly narrow the market. Source/event geography is qualified in the Signal copy and does not itself limit firing. Food recalls remain authority-market-specific: FSANZ → AU; MPI/New Zealand Food Safety → NZ.
source_status,active,Active,Authorised source channel.
source_status,inactive,Inactive,Retained identifier but not authorised for new Signal records.
confidence_state,confirmed,Confirmed,Highest evidence and identity confidence.
confidence_state,strong,Strong,Strong evidence and defensible identity/scope.
confidence_state,probable,Probable,Insufficient for public publication.
