candidate_id,candidate_brand_name,candidate_parent_name,evidence_source_type,evidence_reference,retailer_or_source,category_path,candidate_state,review_outcome_note,notes_internal
EXT0001,Maggie Beer,Maggie Beer Holdings Limited,retailer_catalogue_audit,https://www.maggiebeerholdings.com.au/about-us/who-we-are/,Coles,COLP001,promoted,Coles category snippet plus Maggie Beer Holdings source says Longtable owns 100% of Maggie Beer Products. | workflow=promoted_to_canonical_chaining_v0.7; proposed_review_state=provisional,Premium/long-tail but visible AU brand not captured by global parent harvest. Promoted to canonical parent/brand rows in v0.7.
EXT0002,Savoy,The Arnott's Group,retailer_catalogue_audit,https://www.coles.com.au/brands/arnotts-1655129700,Coles,COLP004,promoted,Coles Arnott's brand page exposes Savoy product title; likely Arnott's sub-brand/product family. | workflow=promoted_to_canonical_chaining_v0.7; proposed_review_state=provisional,Tests brand-vs-sub-brand policy. Promoted to canonical parent/brand rows in v0.7.
EXT0003,Gippsland Dairy,"Chobani, LLC / Chobani Pty Ltd",retailer_catalogue_audit,https://www.chobani.com.au/our-products/,Coles,COLP012,promoted,Coles listing exposes shelf presence; Chobani Australia product page lists Gippsland Dairy in Chobani products. | workflow=promoted_to_canonical_chaining_v0.7; proposed_review_state=provisional,Catalogue audit found a missing brand under an already-present parent. Promoted to canonical parent/brand rows in v0.7.
EXT0004,Val Verde,Conga Foods Pty Ltd,retailer_catalogue_audit,https://www.discovervalverde.com.au/privacy-disclaimer/,Coles,COLP014,promoted,Coles category snippet exposes shelf presence; Val Verde privacy page says Conga Foods is brand owner. | workflow=promoted_to_canonical_chaining_v0.7; proposed_review_state=provisional,Strong proof catalogue audit finds mid-sized AU shelf parents missed by global brand harvesting. Promoted to canonical parent/brand rows in v0.7.
EXT0005,Tilda,Ebro Foods S.A.,retailer_catalogue_audit,https://www.ebrofoods.es/en/news/ebro-foods-buys-the-premium-rice-brand-tilda/,Coles,COLP017,promoted,Coles category snippets expose shelf presence; Ebro Foods announced acquisition of Tilda. | workflow=promoted_to_canonical_chaining_v0.7; proposed_review_state=provisional,Useful pantry/category specialist parent candidate. Promoted to canonical parent/brand rows in v0.7.
PEC0006,SPC,SPC Global Limited,retailer_catalogue_audit,https://spcglobalgroup.com/,Coles,COLP024,promoted,Founder-approved v0.8 promotion from Coles canned-meal audit; SPC Global official source supports provisional parent/brand chain. | workflow=promoted_to_canonical_chaining_v0.8; proposed_review_state=provisional,High-value canned food / ready-to-eat pantry brand gap.
PEC0007,Indomie,PT Indofood Sukses Makmur Tbk,retailer_catalogue_audit,https://indomie.com.au/about/,Coles,COLP027,promoted,Founder-approved v0.8 promotion from Coles noodle audit; Indomie official source confirms Indofood production and AU/NZ availability. | workflow=promoted_to_canonical_chaining_v0.8; proposed_review_state=provisional,High-scan noodle category gap; parent mapping requires careful source support.
PEC0008,Fantastic,San Remo Macaroni Company Pty Ltd,retailer_catalogue_audit,https://fantasticsnacks.com.au/about-us,Coles,COLP029,promoted,Founder-approved v0.8 promotion from Coles noodle/snack audit; Fantastic official source supports brand presence while parent ownership remains provisional. | workflow=promoted_to_canonical_chaining_v0.8; proposed_review_state=provisional,High-scan noodle/snack category gap; do not force owner until source is verified.
PEC0009,My Muscle Chef,My Muscle Chef Pty Ltd,retailer_catalogue_audit,https://www.coles.com.au/product/my-muscle-chef-pro-meal-mexican-pulled-beef-370g-1071092,Coles,COLP031,promoted,Founder-approved v0.8 promotion from Coles ready-meals audit; official My Muscle Chef source confirms brand/operating presence while top-owner remains provisional. | workflow=promoted_to_canonical_chaining_v0.8; proposed_review_state=provisional,Ready-to-eat meals gap.
PEC0010,Youfoodz,HelloFresh SE,retailer_catalogue_audit,https://assets.ctfassets.net/irplh84t0tdt/4xkJwmAtSgYrI7tZ6J1TTg/cb42e689560e2ae306cde8857ee3acb8/HelloFresh_Press_Release_Youfoods_acquisition.pdf,Coles,COLP032,candidate,Coles ready-meals audit surfaced Youfoodz; HelloFresh acquisition source supports parent candidate but should be validated for current chain. | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,Ready-to-eat meals gap; also relevant to Signals but not scoring. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0011,Super Nature,Vesco Foods Pty Ltd,retailer_catalogue_audit,https://supernaturefoods.com.au/,Coles,COLP034,candidate,Coles/frozen-meal audit surfaced Super Nature; official Super Nature site references Vesco Foods. | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,Frozen/ready meal gap. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0012,Lean Cuisine,Patties Food Group / licensed brand complexity,retailer_catalogue_audit,https://pattiesfoodgroup.com/about-us,Coles,COLP035,candidate,Coles frozen-meal audit surfaced Lean Cuisine; AU/NZ licensing creates current-chain complexity. | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,Licensing complexity: product ownership chain may differ from global brand owner. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0013,McCain Healthy Choice,McCain Foods Limited,retailer_catalogue_audit,https://mccain.com.au/products/,Coles,COLP036,promoted,Coles frozen-meal audit surfaced McCain Healthy Choice; may be a brand/sub-brand under McCain. | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: AU/NZ McCain Healthy Choice rights confirmed; promoted to canonical brand B0651 under McCain Foods.
PEC0014,Cobs,Cobs Fine Foods / Kinrise Pty Ltd to verify,retailer_catalogue_audit,https://cobs.com.au/,Coles,COLP040,candidate,"Coles snack audit surfaced Cobs; official brand source confirms brand presence, parent ownership needs verified source. | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional",High-value snack brand gap. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off.
PEC0015,Magnum,The Magnum Ice Cream Company N.V.,imported_seed,https://corporate.magnumicecream.com/en/brands.html,Benchmark seed / stewardship,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0016,Wall's,The Magnum Ice Cream Company N.V.,imported_seed,https://corporate.magnumicecream.com/en/brands.html,Benchmark seed / stewardship,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: TMICC ownership approved; Wall's promoted to canonical brand B0652 under P0014.
PEC0017,Streets,The Magnum Ice Cream Company N.V.,imported_seed,https://corporate.magnumicecream.com/en/brands.html,Benchmark seed / stewardship,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0018,Paddle Pop,The Magnum Ice Cream Company N.V.,imported_seed,https://corporate.magnumicecream.com/en/brands.html,Benchmark seed / stewardship,KTC_2026_Parent_Brand_Alias_Mapping.xlsx#Brand_Alias_Map,promoted,KTC seed row status=changed_post_benchmark; benchmark parent=Unilever plc | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: TMICC ownership approved; brand already present and marked reviewed under P0014.
PEC0019,Guylian,Lotte / Guylian ownership review,manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,Guylian Original Seashell Chocolates (Fairtrade) | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0020,Kettle,Intersnack Group GmbH & Co. KG,manual_review,https://www.intersnackgroup.com/brands/overview,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,promoted,Kettle Ridge Cut Chips - Balsamic Vinegar & Salt | workflow=promoted_to_canonical_chaining_v0.10; proposed_review_state=reviewed,Founder exception review: Kettle owned by Intersnack; Snackbrands Australia captured as local entity context; promoted to B0650/P0156.
PEC0021,Peters Ice Cream,Peters Ice Cream current parent review,manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,Peters Original Vanilla Ice Cream | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0022,Driscoll's,"Driscoll's, Inc. / fresh produce inclusion review",manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,Driscoll's Blackberries | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0023,Sandhurst,Sandhurst Fine Foods Pty Ltd,manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,Sandhurst Pitted Green Olives | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0024,Nature's Path,Nature's Path Foods Inc.,manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,Nature's Path product observed in UAT food/drink pack | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
PEC0025,KB's,KB Food Co / KB Seafood ownership review,manual_review,SRC_UAT_AU_TEST_PACK_20260417,UAT / founder review,Tru_Score_Engine_Detailed_Specification_20260417.xlsx#MaG_UAT_AU_Test_Pack,candidate,KB's Heat & Eat Prawn Gyoza | workflow=keep_candidate_post_v0.10_signoff; proposed_review_state=provisional,"Medium-priority UAT seed candidate; not essential for MVP chaining, included for founder review queue. v0.10 founder decision: keep as candidate; do not promote before lock-down/sign-off."
