candidate_id,alias_text,alias_normalized,alias_type,alias_source_type,candidate_brand_id,candidate_canonical_brand_name,candidate_parent_id,candidate_parent_display_name,source_reference,candidate_state,review_outcome_note,notes_internal
AHC0001,Captain's Table Classic Water Crackers,captains table classic water crackers,packaging_variation,retailer_product_page,B0538,Captain's Table,P0009,"Mondelez International, Inc.",https://www.woolworths.com.au/shop/productdetails/140784/captain-s-table-classic-water-crackers,candidate,"Promote as GTIN/product-title matching candidate, not necessarily canonical alias. | Review whether to promote to brand_aliases or keep in product-title matching dictionary.",priority=high; source_title=Woolworths product title
AHC0024,2 Minute Noodles,2 minute noodles,packaging_variation,retailer_product_page,B0063,Maggi,P0008,Nestlé S.A.,https://www.coles.com.au/browse/pantry/canned-food-soups-noodles/noodles,candidate,Coles noodle snippets expose Maggi 2 Minute Noodles product-title variation. | add_alias_candidate,priority=high; source_title=Coles Noodles category snippet
AHC0025,Cup A Soup,cup a soup,packaging_variation,retailer_product_page,B0100,Continental,P0006,Unilever PLC,https://www.coles.com.au/search/products?q=Continental%20Cup%20A%20Soup,candidate,Coles product snippets expose Cup A Soup as a strong sub-brand/product-title alias. | add_alias_candidate,priority=high; source_title=Coles Cup A Soup product snippets
AHC0026,Pringles Minis,pringles minis,packaging_variation,retailer_product_page,B0558,Pringles,P0007,"Mars, Incorporated",https://www.coles.com.au/product/pringles-potato-chips-original-134g-2784047,candidate,Coles snippets expose Minis/multipack variants; good alias candidate for product-title parsing. | add_alias_candidate,priority=medium; source_title=Coles Pringles product snippets
AHC0027,Smith's Twisties,smiths twisties,retailer_listing_variation,retailer_product_page,B0080,Twisties,P0010,"PepsiCo, Inc.",https://www.coles.com.au/product/smith%27s-twisties-snacks-party-bag-share-pack-chicken-cheese-270g-3302731,candidate,Retailer title sometimes prefixes Twisties with Smith's; add as alias candidate only. | add_alias_candidate,priority=medium; source_title=Coles Twisties product snippets
AHC0028,Tip Top,tip top,packaging_variation,manual_stewardship,B0301,Tip Top Bakery,P0164,George Weston Foods Limited,SRC_CHAINING_REFRESH_20260816,candidate,Harvest only — not promoted to reviewed alias (collision / variant policy).,chaining-refresh-20260816
AHC0029,Yoplait,yoplait,packaging_variation,manual_stewardship,B0339,Yoplait (AU / Bega licence),P0023,Bega Group Limited,SRC_CHAINING_REFRESH_20260816,candidate,Harvest only — not promoted to reviewed alias (collision / variant policy).,chaining-refresh-20260816
AHC0030,Yoplait,yoplait,packaging_variation,manual_stewardship,B0656,Yoplait (NZ / Goodman Fielder-Wilmar licence),P0040,Goodman Fielder Pty Limited,SRC_CHAINING_REFRESH_20260816,candidate,Harvest only — not promoted to reviewed alias (collision / variant policy).,chaining-refresh-20260816
AHC0031,Primo,primo,packaging_variation,manual_stewardship,B0718,Primo (dairy),P0022,Fonterra Co-operative Group Limited,SRC_CHAINING_REFRESH_20260816,candidate,Harvest only — not promoted to reviewed alias (collision / variant policy).,chaining-refresh-20260816
AHC0032,Tip Top,tip top,packaging_variation,manual_stewardship,B0793,Tip Top Ice Cream,P0160,Froneri International Limited,SRC_CHAINING_REFRESH_20260816,candidate,Harvest only — not promoted to reviewed alias (collision / variant policy).,chaining-refresh-20260816
