signal_target_id,signal_id,market_key,target_type,target_label,canonical_target_id,propagation_mode,scope_review_summary,coverage_state,confidence_state,review_state,resolution_status,lineage_reference,product_scope_guard
TGT-001,SIG-SR-AU-001,AU,product,Chickadees Multipack 6x19g (114g),TGT-001,exact_only,Only listed date markings.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710,
TGT-002,SIG-SR-AU-001,AU,product,Chickadees 190g,TGT-002,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710,
TGT-003,SIG-SR-AU-001,AU,product,Chickadees 90g,TGT-003,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710,
TGT-004,SIG-SR-AU-001,AU,product,Chickadees 45g,TGT-004,exact_only,Only listed date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-CHICKADEES-20260710,
TGT-005,SIG-SR-AU-002,AU,product,Allen's iNSiDE OUTS 130g,TGT-005,exact_only,Only listed batch numbers and date marking.,exact_product,confirmed,reviewed,resolved,FSANZ-ALLENS-INSIDEOUTS-20260602,
TGT-007,SIG-SR-NZ-002,NZ,product,Pams Beef Lasagne 1.3kg,TGT-007,exact_only,Only product labelled USE BY 01MAY26; correct date was 01MAR26.,exact_product,confirmed,reviewed,resolved,MPI-PAMS-LASAGNE-20260227,
TGT-008,SIG-SR-AU-003,AU,entity,Coles Supermarkets Australia,P0002,entity_descendants,All current Coles-owned/private-label product descendants in AU; exclude third-party brands merely stocked by Coles.,entity_context,confirmed,reviewed,resolved,ACCC-39-26,
TGT-009,SIG-IN-AU-001,AU,brand,Leggo's Tomato Paste — AU,B0179,brand_descendants,Brand-wide In-the-News for governed brand B0179 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Leggo's Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-LEGGOS,
TGT-010,SIG-IN-AU-002,AU,brand,Remano Tomato Paste — AU,B0032,brand_descendants,Brand-wide In-the-News for governed brand B0032 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Remano Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-REMANO,
TGT-011,SIG-IN-AU-003,AU,brand,Coles Italian Tomato Paste — AU,B0200,brand_descendants,Brand-wide In-the-News for governed brand B0200 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Coles Italian Tomato Paste — AU,brand_context,strong,reviewed,resolved,ABC-106940742-COLES-TOMATO,
TGT-012,SIG-IN-AU-004,AU,brand,Hoyt's Turmeric — AU,B0653,brand_descendants,Brand-wide In-the-News for governed brand B0653 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Hoyt's Turmeric — AU,brand_context,strong,reviewed,resolved,ABC-106960116-HOYTS,
TGT-013,SIG-IN-AU-005,AU,brand,Woolworths Cage-Free Eggs — tested South Australian range,B0001,brand_descendants,Brand-wide In-the-News for governed brand B0001 in market AU. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Woolworths Cage-Free Eggs — tested South Australian range,brand_context,strong,reviewed,resolved,ABC-106960116-WOOLWORTHS-EGGS,
TGT-014,SIG-IN-GL-001,AU,brand,Cadbury chocolate — AU,B0067,brand_descendants,"Cadbury/Mondelēz chocolate context only; exclude Ritz, Philadelphia and other non-chocolate Mondelēz brands.",brand_context,strong,reviewed,resolved,ABC-106970782-COCOALIFE,cocoa_chocolate
TGT-015,SIG-IN-GL-001,NZ,brand,Cadbury chocolate — NZ,B0067,brand_descendants,Cadbury/Mondelēz chocolate context only; exclude non-chocolate Mondelēz brands.,brand_context,strong,reviewed,resolved,ABC-106970782-COCOALIFE,cocoa_chocolate
TGT-017,SIG-IN-NZ-001,NZ,brand,Keri Fruit Juice — documented 3L to 2.4L transition,B0268,brand_descendants,Brand-wide In-the-News for governed brand B0268 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Keri Fruit Juice — documented 3L to 2.4L transition,brand_context,strong,reviewed,resolved,CONSUMERNZ-KERI-20260211,
TGT-018,SIG-IN-NZ-002,NZ,brand,Anchor Blue Milk Powder 400g,B0139,brand_descendants,Brand-wide In-the-News for governed brand B0139 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Anchor Blue Milk Powder 400g,brand_context,strong,reviewed,resolved,CONSUMERNZ-ANCHOR-BLUE-20260211,
TGT-019,SIG-IN-NZ-003,NZ,brand,Pams sparkling water with outdated two-star HSR,B0024,brand_descendants,Brand-wide In-the-News for governed brand B0024 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Pams sparkling water with outdated two-star HSR,brand_context,strong,reviewed,resolved,RNZ-590339,
TGT-020,SIG-IN-GL-002,AU+NZ,entity,"Mondelez International, Inc.",P0009,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-021,SIG-IN-GL-002,AU+NZ,entity,Nestlé S.A.,P0008,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-022,SIG-IN-GL-002,AU+NZ,entity,"Mars, Incorporated",P0007,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-023,SIG-IN-GL-002,AU+NZ,entity,The Hershey Company,P0033,entity_descendants,Corporate cocoa/chocolate target named in Global Witness source; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-024,SIG-IN-GL-002,AU+NZ,entity,Unilever PLC,P0013,entity_descendants,Publication-time corporate subject named by Global Witness; positive product-scope evidence required.,entity_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-025,SIG-IN-GL-002,AU+NZ,brand,Magnum,B0105,brand_descendants,Explicit publication-time bridge for Unilever/Magnum; do not propagate to all current TMICC brands.,brand_context,strong,reviewed,resolved,GW-LIBERIA-COCOA-20251125,cocoa_chocolate
TGT-026,SIG-IN-NZ-004,NZ,brand,Anchor Butter — affected historical label period,B0139,brand_descendants,Brand-wide In-the-News for governed brand B0139 in market NZ. No product_scope_guard; scanned SKU name is not an eligibility gate. (Restored from product/product_family+product_name conflation.) Prior label: Anchor Butter — affected historical label period,brand_context,strong,reviewed,resolved,NZH-ANCHOR-GRASSFED-20260331,
TGT-027,SIG-IN-NZ-005,NZ,entity,Talley's Group,P0158,entity_descendants,All current NZ consumer-brand/product descendants for company-context display; do not imply every site or product was directly involved in each underlying allegation.,entity_context,strong,reviewed,resolved,NZH-TALLEYS-JUDGMENT-20251217,
