file_path,line_number,matched_term,line_classification,raw_line_excerpt
"app/result/[barcode].refactored.tsx",42,"TruScore","review_default","import { TruScoreCard } from '../../src/features/product/cards/TruScoreCard';"
"app/result/[barcode].refactored.tsx",62,"TruScore","review_default","import TruScoreInfoModal from '../../src/components/TrustScoreInfoModal';"
"app/result/[barcode].refactored.tsx",107,"TruScore","review_default","const [truScoreModalVisible, setTruScoreModalVisible] = useState(false);"
"app/result/[barcode].refactored.tsx",334,"TruScore","review_default","<TruScoreCard"
"app/result/[barcode].refactored.tsx",445,"TruScore","review_default","<TruScoreInfoModal"
"app/result/[barcode].refactored.tsx",447,"TruScore","review_default","onClose={() => setTruScoreModalVisible(false)}"
"app/result/[barcode].tsx",32,"TruScore","review_default","import TruScore from '../../src/components/TruScore';"
"app/result/[barcode].tsx",39,"TruScore","review_default","import { calculateTruScore, TruScoreResult } from '../../src/lib/truscoreEngine';"
"app/result/[barcode].tsx",45,"TruScore","review_default","import TruScoreInfoModal from '../../src/components/TrustScoreInfoModal';"
"app/result/[barcode].tsx",46,"TruScore","review_default","import TruScoreAnalysisModal from '../../src/components/TruScoreAnalysisModal';"
"app/result/[barcode].tsx",134,"TruScore","comment","// Helper function to get TruScore color"
"app/result/[barcode].tsx",135,"TruScore","review_default","const getTruScoreColor = (score: number | null) => {"
"app/result/[barcode].tsx",143,"TruScore","comment","// Helper function to get TruScore label"
"app/result/[barcode].tsx",144,"TruScore","review_default","const getTruScoreLabel = (score: number | null) => {"
"app/result/[barcode].tsx",153,"TruScore","review_default","const [truScore, setTruScore] = useState<TruScoreResult | null>(null);"
"app/result/[barcode].tsx",160,"TruScore","review_default","const [truScoreModalVisible, setTruScoreModalVisible] = useState(false);"
"app/result/[barcode].tsx",161,"TruScore","review_default","const [truScoreAnalysisModalVisible, setTruScoreAnalysisModalVisible] = useState(false);"
"app/result/[barcode].tsx",173,"TruScore","review_default","const [shareType, setShareType] = useState<'truScore' | 'recall' | 'countryOfManufacture' | 'negativeTruScore' | 'productInfo' | 'insights' | 'palmOil' | 'nutrition' | 'ingredients' | 'processing' | 'allergens' | 'ecoscore'>('truScore');"
"app/result/[barcode].tsx",332,"TruScore","comment","// Use TruScore from product object (already calculated in productService.ts using truscoreEngine.ts)"
"app/result/[barcode].tsx",339,"TruScore","review_default","let insights: TruScoreResult['insights'] = undefined;"
"app/result/[barcode].tsx",355,"TruScore","review_default","const score: TruScoreResult = {"
"app/result/[barcode].tsx",368,"TruScore","review_default","setTruScore(score);"
"app/result/[barcode].tsx",371,"TruScore","review_default","setTruScore(null);"
"app/result/[barcode].tsx",374,"TruScore","review_default","setTruScore(null);"
"app/result/[barcode].tsx",449,"TruScore","comment","// Product displays immediately (< 100ms) even before TruScore is calculated"
"app/result/[barcode].tsx",457,"TruScore","comment","// This enables instant display (< 100ms) instead of waiting for TruScore"
"app/result/[barcode].tsx",463,"TruScore","review_default","`TruScore: ${productWithScore.trust_score || 'calculating...'}`);"
"app/result/[barcode].tsx",468,"TruScore","review_default","console.log(`[ResultScreen] ✅ Product enhanced (merge complete): TruScore ${productWithScore.trust_score}, fetch trace: ${traceLen} source(s) – Score breakdown reflects all DBs used`);"
"app/result/[barcode].tsx",471,"TruScore","review_default","console.log(`[ResultScreen] ✅ Product complete with TruScore: ${productWithScore.trust_score}`);"
"app/result/[barcode].tsx",577,"TruScore","review_default","const handleShare = (cardType: 'truScore' | 'recall' | 'countryOfManufacture' | 'negativeTruScore' | 'productInfo' | 'insights' | 'palmOil' | 'nutrition' | 'ingredients' | 'processing' | 'allergens' | 'ecoscore') => {"
"app/result/[barcode].tsx",998,"TruScore","review_default","{/* Banner Alerts Card - Above TruScore */}"
"app/result/[barcode].tsx",1006,"TruScore","review_default","{/* TruScore Card - v1.4 */}"
"app/result/[barcode].tsx",1011,"TruScore","review_default","borderColor: getTruScoreColor(truScore.truscore),"
"app/result/[barcode].tsx",1014,"TruScore","review_default","onPress={() => setTruScoreModalVisible(true)}"
"app/result/[barcode].tsx",1024,"TruScore","review_default","setTruScoreModalVisible(true);"
"app/result/[barcode].tsx",1046,"TruScore","comment","// Determine share type for TruScore card"
"app/result/[barcode].tsx",1048,"TruScore","review_default","? 'negativeTruScore'"
"app/result/[barcode].tsx",1063,"TruScore","review_default","{/* TruScore Display - v1.4 */}"
"app/result/[barcode].tsx",1064,"TruScore","review_default","<TruScore truScore={truScore} size=""medium"" />"
"app/result/[barcode].tsx",1068,"TruScore","review_default","onPress={() => setTruScoreAnalysisModalVisible(true)}"
"app/result/[barcode].tsx",1110,"TruScore","review_default","? 'negativeTruScore'"
"app/result/[barcode].tsx",1721,"TruScore","review_default","{/* Palm oil: scored in Planet/TruScore and insights; product card hidden (PalmOilCard). */}"
"app/result/[barcode].tsx",2175,"TruScore","review_default","{/* TruScore Info Modal - Only show if we have data */}"
"app/result/[barcode].tsx",2177,"TruScore","review_default","<TruScoreInfoModal"
"app/result/[barcode].tsx",2179,"TruScore","review_default","onClose={() => setTruScoreModalVisible(false)}"
"app/result/[barcode].tsx",2184,"TruScore","review_default","{/* TruScore Analysis Modal - Pillar breakdown & data source trace */}"
"app/result/[barcode].tsx",2185,"TruScore","review_default","<TruScoreAnalysisModal"
"app/result/[barcode].tsx",2187,"TruScore","review_default","onClose={() => setTruScoreAnalysisModalVisible(false)}"
"src/components/AdvancedSearchFilters.tsx",101,"TruScore","review_default","{/* TruScore */}"
"src/components/NutritionTable.tsx",56,"TruScore","comment","/** UI second hook: same OFF-aligned merge as TruScore, so levels show even if upstream omitted them. */"
"src/components/ShareModal.tsx",30,"TruScore","review_default","import { TruScoreResult } from '../lib/truscoreEngine';"
"src/components/ShareModal.tsx",40,"TruScore","review_default","truScore?: TruScoreResult | null;"
"src/components/ShareModal.tsx",41,"TruScore","review_default","shareType?: 'truScore' | 'recall' | 'countryOfManufacture' | 'negativeTruScore' | 'productInfo' | 'insights' | 'palmOil' | 'nutrition' | 'ingredients' | 'processing' | 'allergens' | 'ecoscore';"
"src/components/TruScore.tsx",1,"TruScore","comment","// src/components/TruScore.tsx – Rveel Score v1.4 display component"
"src/components/TruScore.tsx",5,"TruScore","review_default","import { TruScoreResult } from '../lib/truscoreEngine';"
"src/components/TruScore.tsx",9,"TruScore","review_default","interface TruScoreProps {"
"src/components/TruScore.tsx",10,"TruScore","review_default","truScore: TruScoreResult;"
"src/components/TruScore.tsx",14,"TruScore","review_default","const TruScore = React.memo(function TruScore({ truScore, size = 'medium' }: TruScoreProps) {"
"src/components/TruScore.tsx",176,"TruScore","review_default","export default TruScore;"
"src/components/TruScoreAnalysisModal.tsx",12,"TruScore","review_default","import type { TruScoreAnalysis } from '../types/truscoreAnalysis';"
"src/components/TruScoreAnalysisModal.tsx",15,"TruScore","review_default","interface TruScoreAnalysisModalProps {"
"src/components/TruScoreAnalysisModal.tsx",18,"TruScore","review_default","analysis: TruScoreAnalysis | null | undefined;"
"src/components/TruScoreAnalysisModal.tsx",21,"TruScore","review_default","export default function TruScoreAnalysisModal({ visible, onClose, analysis }: TruScoreAnalysisModalProps) {"
"src/components/TrustScoreInfoModal.tsx",10,"TruScore","review_default","interface TruScoreInfoModalProps {"
"src/components/TrustScoreInfoModal.tsx",30,"TruScore","review_default","export default function TruScoreInfoModal({ visible, onClose, product }: TruScoreInfoModalProps) {"
"src/config/scoreHighlightDefinitions.ts",474,"TruScore","comment","// independent of whether a TruScore analysis object has been attached yet."
"src/config/scoreHighlightDefinitions.ts",501,"TruScore","comment","// independent of whether a TruScore analysis object has been attached yet."
"src/config/scoreHighlightDefinitions.ts",528,"TruScore","comment","// independent of whether a TruScore analysis object has been attached yet."
"src/config/scoreHighlightDefinitions.ts",547,"TruScore","comment","// independent of whether a TruScore analysis object has been attached yet."
"src/data/databases/truScoreOptimizedDatabase.ts",1,"TruScore","comment","// TruScore-Optimized Database Service"
"src/data/databases/truScoreOptimizedDatabase.ts",2,"TruScore","comment","// Ensures maximum data quality and completeness for TruScore calculation"
"src/data/databases/truScoreOptimizedDatabase.ts",33,"TruScore","comment","// FSANZ is queried by product name via queryFSANZByProductName() in queryByNameForTruScore()"
"src/data/databases/truScoreOptimizedDatabase.ts",88,"TruScore","review_default","export class TruScoreOptimizedDatabase {"
"src/data/databases/truScoreOptimizedDatabase.ts",90,"TruScore","comment","* Query ALL databases in parallel, optimized for TruScore"
"src/data/databases/truScoreOptimizedDatabase.ts",255,"TruScore","review_default","sourceWeights: this.getTruScoreSourceWeights(),"
"src/data/databases/truScoreOptimizedDatabase.ts",671,"TruScore","comment","// FSANZ is also queried later in queryByNameForTruScore() for additional coverage"
"src/data/databases/truScoreOptimizedDatabase.ts",962,"TruScore","comment","// (This will be used later in queryByNameForTruScore)"
"src/data/databases/truScoreOptimizedDatabase.ts",1066,"TruScore","review_default","async queryByNameForTruScore("
"src/data/databases/truScoreOptimizedDatabase.ts",1166,"TruScore","comment","* Get source weights optimized for TruScore"
"src/data/databases/truScoreOptimizedDatabase.ts",1168,"TruScore","review_default","getTruScoreSourceWeights(): Record<string, number> {"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",1,"TruScore","test_or_spec","// Test suite for TruScoreOptimizedDatabase"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",2,"TruScore","test_or_spec","// Verifies parallel querying, location-specific databases, and TruScore completeness"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",4,"TruScore","test_or_spec","import { TruScoreOptimizedDatabase } from '../truScoreOptimizedDatabase';"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",7,"TruScore","test_or_spec","describe('TruScoreOptimizedDatabase', () => {"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",8,"TruScore","test_or_spec","let database: TruScoreOptimizedDatabase;"
"src/data/databases/__tests__/truScoreOptimizedDatabase.test.ts",11,"TruScore","test_or_spec","database = new TruScoreOptimizedDatabase();"
