source_id,source_type,source_name,source_url_or_reference,source_harvest_date,source_status,notes
SRC_WOOLWORTHS_GROUP_BRANDS,official_parent_brand_page,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,active,Official group/store brand page
SRC_COLES_OWN_BRANDS,retailer_own_brand_page,Coles — Our Brands,https://www.coles.com.au/about/who-we-are/our-brands,2026-04-28,active,Retailer own-brand source
SRC_FOODSTUFFS_OUR_BRANDS,official_parent_brand_page,Foodstuffs — Our Brands,https://www.foodstuffs.co.nz/our-brands,2026-04-28,active,Official NZ retailer group / own brands page
SRC_ALDI_AU_BRANDS,retailer_product_page,ALDI Australia — Brands/Product Pages,https://www.aldi.com.au/brands/Choceur,2026-04-28,active,ALDI brand/product evidence
SRC_METCASH_IGA_BRANDS,manual_stewardship,Metcash/IGA own-label stewardship seed,https://www.iga.com.au/,2026-04-28,active,Seeded pending full official source harvesting
SRC_COSTCO_KIRKLAND,retailer_own_brand_page,Costco Australia — Kirkland Signature,https://www.costco.com.au/kirkland-signature,2026-04-28,active,Costco private-label source
SRC_MARS_AU_BRANDS,official_parent_brand_page,Mars Australia — A-Z Brands,https://www.mars.com/en-au/our-brands/all-brands,2026-04-28,active,Official AU Mars brand portfolio
SRC_NESTLE_AU_BRANDS,official_parent_brand_page,Nestlé Australia — Brands,https://www.nestle.com.au/en/brands,2026-04-28,active,Official AU Nestlé brand page
SRC_MONDELEZ_BRANDS,official_parent_brand_page,Mondelēz International — Our Brands,https://www.mondelezinternational.com/Our-Brands/,2026-04-28,active,Official Mondelēz brand page
SRC_PEPSICO_AU_BRANDS,official_parent_brand_page,PepsiCo Australia — Our Brands,https://pepsico.com.au/our-brands,2026-04-28,active,Official PepsiCo Australia brand page
SRC_COCA_COLA_AU_BRANDS,official_parent_brand_page,Coca‑Cola Australia — Brands,https://www.coca-cola.com/au/en/brands,2026-04-28,active,Official Coca‑Cola Australia brand page
SRC_DANONE_GLOBAL_BRANDS,official_parent_brand_page,Danone — Brands,https://www.danone.com/brands.html,2026-04-28,active,Official Danone brand page
SRC_UNILEVER_AU_BRANDS,official_parent_brand_page,Unilever Australia & New Zealand,https://www.unilever.com.au/,2026-04-28,active,Official Unilever AU/NZ page; detailed food brand confirmation limited
SRC_STREETS_BRANDS,official_brand_page,Streets Ice Cream — Brands,https://www.streetsicecream.com.au/brands.html,2026-04-28,active,Official Streets/TMICC ice-cream brand page
SRC_GENERAL_MILLS_AU_BRANDS,official_parent_brand_page,General Mills Australia — Brands,https://www.generalmills.com.au/brands,2026-04-28,active,Official General Mills Australia brand page
SRC_KRAFT_HEINZ_BRANDS,official_parent_brand_page,Kraft Heinz — Beloved Global Brands,https://www.kraftheinzcompany.com/brands.html,2026-04-28,active,Official Kraft Heinz brand portfolio
SRC_FERRERO_AU_BRANDS,official_parent_brand_page,Ferrero Australia & New Zealand — Brands,https://www.ferrero.com/au/en/our-brands,2026-04-28,active,Official Ferrero AU/NZ brand page
SRC_ABF_BRANDS,official_parent_brand_page,Associated British Foods — Our Businesses,https://www.abf.co.uk/our-businesses,2026-04-28,active,Official ABF businesses/brands page
SRC_BARILLA_GROUP_BRANDS,official_parent_brand_page,Barilla Group — Brands,https://www.barillagroup.com/en/brands/,2026-04-28,active,Official Barilla group brands page
SRC_LACTALIS_AU_BRANDS,official_parent_brand_page,Lactalis Australia — Brands,https://lactalis.com.au/brand/,2026-04-28,active,Official Lactalis Australia brand page
SRC_ARLA_BRANDS,official_parent_brand_page,Arla Foods — Brands,https://www.arla.com/brands/,2026-04-28,active,Official Arla brand page
SRC_FONTERRA_AU_BRANDS,official_parent_brand_page,Fonterra Australia — Our Brands,https://www.fonterra.com/au/en/about-us/our-brands.html,2026-04-28,active,Official Fonterra Australia brands page
SRC_BEGA_GROUP_BRANDS,official_parent_brand_page,Bega Group — About/Brands,https://begagroup.com.au/,2026-04-28,active,Bega Group official source / brand references
SRC_A2_MILK_BRANDS,official_parent_brand_page,The a2 Milk Company,https://thea2milkcompany.com/,2026-04-28,active,Official a2 Milk Company source
SRC_SANITARIUM_BRANDS,official_brand_page,Sanitarium brand stewardship seed,https://www.sanitarium.com/au/,2026-04-28,active,Official Sanitarium source; brand detail to verify
SRC_INGHAMS_BRANDS,official_parent_brand_page,Ingham's — Our Brands,https://inghams.com.au/,2026-04-28,active,Official Ingham's source
SRC_JBS_FOODS_BRANDS,official_parent_brand_page,JBS Foods — Our Brands,https://jbsfoodsgroup.com/our-brands,2026-04-28,active,Official JBS Foods brand page
SRC_BRF_BRANDS,official_parent_brand_page,BRF — Our Brands,https://www.mbrf.com/en/our-brands/,2026-04-28,active,Official MBRF/BRF brands page
SRC_TYSON_BRANDS,official_parent_brand_page,Tyson Foods — Our Brands,https://www.tysonfoods.com/our-brands,2026-04-28,active,Official Tyson Foods brand page
SRC_MAPLE_LEAF_BRANDS,official_parent_brand_page,Maple Leaf Foods — Brands,https://www.mapleleaffoods.com/brands/,2026-04-28,active,Official Maple Leaf Foods brand page
SRC_PREMIER_FOODS_BRANDS,official_parent_brand_page,Premier Foods — Our Brands,https://www.premierfoods.co.uk/our-brands/,2026-04-28,active,Official Premier Foods brands page
SRC_CAMPBELLS_ANZ_PRODUCTS,official_brand_page,Campbell's ANZ — Products,https://www.campbellsanz.com/products,2026-04-28,active,Official Campbell's Australia/NZ products source
SRC_HERSHEY_BRANDS,official_parent_brand_page,The Hershey Company — Brands,https://www.thehersheycompany.com/en_us/home/brands.html,2026-04-28,active,Official Hershey brands page
SRC_MCCORMICK_CORP_BRANDS,official_parent_brand_page,McCormick Corporation — Brands,https://www.mccormickcorporation.com/brands,2026-04-28,active,Official McCormick brand page
