brand_id,canonical_brand_name,display_brand_name,parent_id,parent_display_name,brand_type,review_state,primary_source_type,primary_source_id,primary_source_name,primary_source_url_or_reference,source_harvest_date,substantiation_note,notes_internal
B0004,Countdown,Countdown,P0001,Woolworths Group Limited,brand_family,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0005,Milkrun,Milkrun,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0001,Woolworths,Woolworths,P0001,Woolworths Group Limited,brand_family,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0006,Woolworths at Work,Woolworths at Work,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0007,Woolworths Essentials,Woolworths Essentials,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0199,Woolworths Food Company,Woolworths Food Company,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0009,Woolworths Free From,Woolworths Free From,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0010,Woolworths Gold,Woolworths Gold,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0008,Woolworths Macro,Woolworths Macro,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0003,Woolworths New Zealand,Woolworths New Zealand,P0001,Woolworths Group Limited,brand_family,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0011,Woolworths Plantitude,Woolworths Plantitude,P0001,Woolworths Group Limited,retailer_own_label,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0002,Woolworths Supermarkets,Woolworths Supermarkets,P0001,Woolworths Group Limited,brand_family,reviewed,official_parent_brand_page,SRC_WOOLWORTHS_GROUP_BRANDS,Woolworths Group — Our Brands,https://www.woolworthsgroup.com.au/au/en/who-we-are/our-brands.html,2026-04-28,v0.3 source-harvested brand under Woolworths Group Limited from Woolworths Gr...,
B0200,Coles,Coles,P0002,Coles Group Limited,brand_family,reviewed,retailer_own_brand_page,SRC_COLES_OWN_BRANDS,Coles — Our Brands,https://www.coles.com.au/about/who-we-are/our-brands,2026-04-28,v0.3 source-harvested brand under Coles Group Limited from Coles — Our Brands...,
