link_id,signal_id,subject_type,subject_id,subject_name,parent_id,parent_name,market_key,relationship_to_signal,uat_trigger_rule,uat_trigger_notes
SL001,SIG_REG_AU_001,brand,B0061,Milo,P0008,Nestlé S.A.,AU,source_named_brand_product_family,Trigger only for scanned product title/brand matching named MILO snack bar recall products and affected batches where available.,"Positive: MILO Dipped Snack Bars. Negative: KitKat, Alfamino, other Nestlé products."
SL002,SIG_REG_AU_002,product_family,SOURCE_PRODUCT_ALFAMINO_400G,Nestlé Alfamino Infant Formula 400g,P0008,Nestlé S.A.,AU,source_named_exact_product_batches,Trigger only for Nestlé Alfamino Infant Formula 400g and listed use-by/batch records where available.,Positive: Alfamino Infant Formula 400g. Negative: all other Nestlé products including Milo and KitKat.
SL003,SIG_REG_NZ_001,brand,B0024,Pams,P0003,Foodstuffs New Zealand,NZ,source_named_brand_product_family,Trigger only for Pams Onion Sprouts Combo / source-supported sprout products.,Positive: Pams Onion Sprouts Combo. Negative: Pams unrelated products.
SL004,SIG_REG_NZ_002,brand,B0020,PAK'nSAVE,P0003,Foodstuffs New Zealand,NZ,store_specific_product_family,Trigger only for Pak’n Save Moorhouse made-in-store bread products listed by MPI.,Positive: Pak’n Save Moorhouse Turkish Bread. Negative: PAK’nSAVE own-label or other stores.
SL005,SIG_NEWS_AU_001,parent,P0001,Woolworths Group Limited,P0001,Woolworths Group Limited,AU,retailer_conduct_context,Trigger only for Woolworths own-label or retailer-branded products. Do not trigger merely because a product is sold at Woolworths.,Positive: Woolworths Essentials pasta. Negative: Coca-Cola sold at Woolworths.
SL006,SIG_NEWS_NZ_001,parent,P0001,Woolworths Group Limited / Woolworths NZ,P0001,Woolworths Group Limited,NZ,retailer_conduct_context,Trigger only for Woolworths NZ / Countdown own-label or retailer-branded products where current chain is reviewed.,Positive: Countdown own-label or Woolworths NZ brand. Negative: third-party product sold at Woolworths NZ.
SL007,SIG_NEWS_NZ_001,parent,P0003,Foodstuffs New Zealand,P0003,Foodstuffs New Zealand,NZ,retailer_conduct_context,Trigger only for PAK’nSAVE / Foodstuffs own-label or retailer-branded products where relevant. Do not trigger for every third-party product sold by Foodstuffs banners.,Positive: Pams or PAK’nSAVE branded product where relevant. Negative: Cadbury sold in Pak’nSave.
SL008,SIG_NEWS_GLOBAL_001,brand,B0241,Cadbury Dairy Milk,P0009,"Mondelez International, Inc.",GLOBAL_CONTEXT,source_named_cocoa_chocolate_brand,Trigger only for reviewed chocolate/cocoa/confectionery brand/category. Do not trigger for unrelated Mondelēz products.,"Positive: Cadbury Dairy Milk. Negative: Ritz crackers, Philadelphia."
SL009,SIG_NEWS_GLOBAL_001,brand,B0060,KitKat,P0008,Nestlé S.A.,GLOBAL_CONTEXT,source_named_cocoa_chocolate_brand,Trigger only for reviewed chocolate/cocoa/confectionery brand/category. Do not trigger for unrelated Nestlé products.,Positive: KitKat. Negative: Alfamino infant formula.
SL010,SIG_NEWS_GLOBAL_001,brand,B0050,Mars,P0007,"Mars, Incorporated",GLOBAL_CONTEXT,source_named_cocoa_chocolate_brand,Trigger only for reviewed chocolate/cocoa/confectionery brand/category.,Positive: Mars chocolate bar. Negative: Ben’s Original rice.
SL011,SIG_NEWS_GLOBAL_002,brand,B0241,Cadbury Dairy Milk,P0009,"Mondelez International, Inc.",GLOBAL_CONTEXT,source_named_or_category_supported_mondelez_brand,Trigger only for named/relevant Mondelēz brands or source-supported product categories. Do not trigger parent-wide by default.,Positive: Cadbury Dairy Milk (same reviewed brand row as SL008; distinct signal_id / dedupe). Negative: Ritz unless later category/source rule supports it.
SL012,SIG_NEWS_GLOBAL_002,brand,B0068,Oreo,P0009,"Mondelez International, Inc.",GLOBAL_CONTEXT,source_named_mondelez_brand,Trigger only where source or category supports brand relevance; use attribution-safe wording.,Positive: Oreo if approved as source-named/relevant. Negative: unrelated Mondelēz products.
SL013,SIG_NEWS_GLOBAL_002,brand,B0071,Toblerone,P0009,"Mondelez International, Inc.",GLOBAL_CONTEXT,source_named_mondelez_brand,Trigger only where source or category supports brand relevance; use attribution-safe wording.,Positive: Toblerone. Negative: Philadelphia/Ritz unless later rule supports it.
