stewardship_action_id,action_type,target_entity_type,target_entity_id,action_timestamp,actor,action_summary,related_change_candidate_id,before_state_note,after_state_note
SA0001,create,parent,ALL,2026-04-28,ChatGPT,Created A-Data Wave 1 v0.2 seed pack from founder-approved v0.1 feedback; benchmark relevance removed from control surface; seed asset membership expressed as binary flags only.,,v0.1 proof-of-structure workbook,v0.2 founder-review workbook
SA0002,update,schema,brand_aliases,2026-04-28,ChatGPT,Added alias_source_type and formalized alias_type values for v0.2.,,A3 v0.4 alias schema,A-Data v0.2 practical alias schema
SA0003,update,schema,ownership_change_candidates,2026-04-28,ChatGPT,Added trigger_source_title and trigger_source_url to make human ownership-change review easier.,,A3 v0.4 source reference only,A-Data v0.2 direct source title/url fields
SA0004,update,control_surface,ALL,2026-04-28,ChatGPT,"Simplified parent cohorts to supermarket_retailer_parent, global_food_beverage_parent, regional_food_beverage_parent, and category_specialist_parent.",,,
S0005,update,asset_pack,A-Data Wave 1 v0.3,2026-04-28,ChatGPT founder-side build assistant,Rebuilt brand sheet with parent display names; expanded parent-level brand source harvesting; converted aliases to brand-only targets; removed low-value parent aliases.,,v0.2 had partial brand harvest and parent/brand alias mixed targets.,v0.3 uses brand-first aliases and deeper brand lists for included parents.
SA0006,ownership_change_approved,parent,P0007,2026-04-28,Matt / ChatGPT founder-side stewardship,Approved Mars/Kellanova current ownership treatment and promoted Kellogg's/Kellanova AU brand rows into canonical_brands as provisional rows.,OC0001,,
SA0007,ownership_change_approved,parent,P0014,2026-04-28,Matt / ChatGPT founder-side stewardship,Approved TMICC/Unilever ice cream current-chain treatment.,OC0002,,
SA0008,ownership_change_approved,parent,P0036,2026-04-28,Matt / ChatGPT founder-side stewardship,Approved KDP/JDE Peet's current-chain ownership review; JDE Peet's brand harvest remains a follow-up task.,OC0003,,
SA0009,review_state_change,alias_harvest_candidates,AHC0002-AHC0004,2026-04-28,Matt / ChatGPT founder-side stewardship,Rejected AHC0002-AHC0004 as over-product-specific or low-value active alias harvest rows; removed from active candidate surface.,,,
SA0010,review_state_change,alias_harvest_candidates,AHC0005-AHC0023,2026-04-28,Matt / ChatGPT founder-side stewardship,"Removed AHC0005-AHC0023 from alias harvest candidates because they were ownership-change-dependent brand candidates, not alias candidates.",,,
SA0011,update,coverage_proxy,catalogue_audit_methodology,2026-04-28,Matt / ChatGPT founder-side stewardship,Replaced flawed supermarket-sales-share proxy with catalogue-coverage audit model using online retailer category/product-title coverage tests.,,,
SAL0012,create,parent,P0057,2026-04-28,ChatGPT founder-side steward,Promoted Maggie Beer Holdings from parent extension candidate into canonical parent layer for v0.7.,,,provisional parent created
SAL0013,create,parent,P0058,2026-04-28,ChatGPT founder-side steward,Promoted Conga Foods from parent extension candidate into canonical parent layer for v0.7.,,,provisional parent created
SAL0014,create,parent,P0059,2026-04-28,ChatGPT founder-side steward,Promoted Ebro Foods from parent extension candidate into canonical parent layer for v0.7.,,,provisional parent created
SAL0015,create,brand,B0559:B0563,2026-04-28,ChatGPT founder-side steward,"Added five Coles audit surfaced brands to canonical brand layer: Maggie Beer, Savoy, Gippsland Dairy, Val Verde, Tilda.",,,provisional brands created
SAL0016,alias_add,brand,B0559:B0563,2026-04-28,ChatGPT founder-side steward,Added pragmatic alias rows for the five newly promoted candidate brands.,,,aliases added
SAL0017,update,coverage_proxy,Category_Coverage_Proxy,2026-04-28,ChatGPT founder-side steward,Rebuilt category coverage proxy around Coles-style category paths and scan-sensitivity clusters.,,,v0.7 category proxy rebuilt
SAL0018,create,audit,Catalogue_Audit_Pilot_Coles,2026-04-28,ChatGPT founder-side steward,Added further focused Coles audit rows for tinned/packaged ready-to-eat meals and snacks.,,,COLP022-COLP041 added
SAL0019,create,parent,P0060:P0063,2026-04-28,Matt / ChatGPT founder-side steward,"Promoted SPC, Indomie, Fantastic and My Muscle Chef from Parent_Extension_Candidates into canonical parent layer for v0.8 following broad founder sign-off.",,PEC0006-PEC0009 open candidates,provisional parent rows created
SAL0020,create,brand,B0564:B0567,2026-04-28,Matt / ChatGPT founder-side steward,"Added SPC, Indomie, Fantastic and My Muscle Chef to canonical brand layer for v0.8.",,ready-meals/snacks gaps open,provisional brand rows created
SAL0021,alias_add,brand,B0564:B0567,2026-04-28,Matt / ChatGPT founder-side steward,"Added pragmatic provisional aliases for SPC, Indomie, Fantastic and My Muscle Chef based on Coles audit/product-title logic and official/brand sources.",,alias gap open,aliases A0102-A0109 added
SAL0022,review_state_change,asset_pack,A-Data Wave 1 v0.10,2026-04-29,Matt / ChatGPT founder-side stewardship,Applied founder broad-based and exception-based sign-off; review states and exception register updated.,,v0.9 fatal-flaw review candidate,v0.10 founder signed-off seed pack
SAL0023,create,parent_brand_alias,Kettle / Intersnack,2026-04-29,Matt / ChatGPT founder-side stewardship,"Resolved Kettle exception: added Intersnack parent, Kettle brand/aliases, and Snackbrands Australia local operational entity.",,PEC0020 candidate,P0156/B0650/A0170-A0171/OE0005 reviewed
SAL0024,create,brand,McCain Healthy Choice,2026-04-29,Matt / ChatGPT founder-side stewardship,Resolved Healthy Choice regional rights exception: added McCain Healthy Choice under McCain Foods with Conagra caveat.,,PEC0013 candidate,B0651/A0172-A0173 reviewed
