alias_id,product_family_id,alias_text,alias_normalized,match_mode,review_state,confidence_state,lineage_reference,notes
PFA_LEGGOS_TOMATO_PASTE,PF_LEGGOS_TOMATO_PASTE_AU,tomato paste,tomato paste,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Leggo's brand anchor; excludes sauces/passata via requiring tomato paste phrase
PFA_REMANO_TOMATO_PASTE,PF_REMANO_TOMATO_PASTE_AU,tomato paste,tomato paste,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Remano brand anchor
PFA_COLES_ITALIAN_TOMATO_PASTE,PF_COLES_ITALIAN_TOMATO_PASTE_AU,italian tomato paste,italian tomato paste,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Coles B0200; italian tomato paste phrase
PFA_WW_CAGEFREE_EGGS,PF_WOOLWORTHS_CAGEFREE_EGGS_SA,cage free eggs,cage free eggs,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Woolworths brand; cage-free eggs phrase
PFA_WW_CAGEFREE_EGGS_HYPHEN,PF_WOOLWORTHS_CAGEFREE_EGGS_SA,cage-free eggs,cage free eggs,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Hyphenated display form normalises to same phrase
PFA_KERI_FRUIT_JUICE,PF_KERI_FRUIT_JUICE_NZ,fruit juice,fruit juice,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Keri brand
PFA_ANCHOR_BUTTER,PF_ANCHOR_BUTTER_NZ,butter,butter,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Anchor brand; butter phrase
PFA_HOYTS_TURMERIC,PF_HOYTS_TURMERIC_AU,turmeric,turmeric,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Hoyt's brand; turmeric phrase excludes other spices
PFA_AUSTRAL_PEPPERMINT,PF_AUSTRALHERBS_PEPPERMINT_20260909,peppermint leaf,peppermint leaf,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Austral Herbs brand
PFA_AUSTRAL_PEPPERMINT_CERT,PF_AUSTRALHERBS_PEPPERMINT_20260909,certified organic premium peppermint,certified organic premium peppermint,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Official product line phrase
PFA_MONSIRE_BRIE_NZ,PF_MONSIRE_BRIE_NZ_20260904,brie,brie,phrase_contains,reviewed,strong,DSA-v0.3|family-alias,Scoped by Mon Sire NZ brand; NZ market on family
