producer,trigger,source_path_function,input_source,class_severity,public_visibility,count_behaviour,platform,proposed_disposition,verification
Limited Product Data,"completeness01 < 0.7",buildProductScanResult.ts::syntheticTransparencyCards,product completeness metrics,B/low,"Result BannerAlertsCard when transitional",yes (non-A capped),shared RN,"Remove from public Signals; retain coverage.flags low_completeness",golden + governed_5b_only tests
Web Search Source,"isWebSearchFallback(product)",buildProductScanResult.ts::syntheticTransparencyCards + webSearchFallback.ts,product source/quality tags,B/medium,Result transitional,yes,shared,"Remove from public Signals; retain coverage.flags web_search_fallback",golden governed default
Preference Animal Testing,"ethicalEnabled && avoidAnimalTesting && brand.animalTesting",bannerAlertsService.ts::generateBannerAlerts → bannerToSignalCard,prefs + brand DB,C/high,Result transitional,yes,shared,Remove from public Signals,governed default golden
Preference Palm Oil,"environmentalEnabled && avoidPalmOil && non-sustainable palm",bannerAlertsService.ts,prefs + ingredients/palm,C/medium,Result transitional,yes,shared,Remove from public Signals,governed default
Preference Israel-linked,"geopolitical avoid_israel + brand origin",bannerAlertsService.ts,prefs + brand origin,C/medium,Result transitional,yes,shared,Remove from public Signals,governed default
Preference Palestine-linked,"avoid_palestine + brand origin",bannerAlertsService.ts,prefs + brand origin,C/medium,Result transitional,yes,shared,Remove from public Signals,governed default
Preference China-linked,"avoid_china + brand origin",bannerAlertsService.ts,prefs + brand origin,C/medium,Result transitional,yes,shared,Remove from public Signals,governed default
Preference India-linked,"avoid_india + brand origin",bannerAlertsService.ts,prefs + brand origin,C/medium,Result transitional,yes,shared,Remove from public Signals,governed default
Workstream C In the News,"WORKSTREAMC_SKELETON_UAT=1 + reviewed chain + subject-link + market + publishable",workstreamCPublicationCore.ts::buildWorkstreamCPublicationRecordsFromParsedPack + mapPublicationRecordToSignalCard,governed CSV pack v0.4,B/medium (in_the_news),Result when flag on,yes,shared env-gated,Retain governed,Cadbury/Ritz/KitKat/Woolworths runtime tests
Stage 2 MILO food recall,"FOOD_RECALL_CORRECTED_PATH=1 + eligible GTIN + match state ≠ not_applicable",evaluateFoodRecallMatch.ts + mapFoodRecallMatchToPublicationRecord,MILO v0.4.1 pack + markings,A/severity by state,Result when path on,yes,shared,Retain governed (verified GTIN only for production),foodRecallMatcher.stage2.test.ts
Legacy Safety subject-links SIG_REG_*,"would match brand/product_family links",filterSuppressedLegacySafety + pathControl.ts,pack rows,A/high,"suppressed always at Stage 2",no,shared,Internal/suppressed only,stage2 suppress tests
Legacy product.recalls banners,"product.recalls active",bannerAlertsService (permanently off result path),FDA/product recalls,would be A,not emitted,no,shared,Do not restore,bannerAlertsService.workstreamCRecall.test.ts
Ethics BBFAW/KTC banners,"ethicsPillarBannerAlerts (no live call sites)",ethicsPillarBannerAlerts.ts,ethics scoring,n/a,not on Signals surface,no,shared,Preserve Ethics pillar only,call-site absence
RecallsCard / RecallAlertModal,"legacy UI components",features/product/cards/RecallsCard; RecallAlertModal,"not mounted on live app/result/[barcode].tsx",n/a,not live Result,no,shared,Do not restore to Signals,Result screen mount audit
Class D premium_insight,"bucket only; no producer",scanOutputContract / partitionSignals,n/a,D,empty,no,shared,N/A future,n/a
my_choices_chain 5B,"engine only; no C pack rows",dynamicSignals/publish,prefs future,would be C,not live,no,shared,Future governed preference path,n/a
